#p	ResponseTime1	sigma(ResponseTime1)	ResponseTime2	sigma(ResponseTime2)	ResponseTimeGlobal	sigma(ResponseTimeGlobal)
0.05	0.0436976968286306	0.00044309472043784306	0.46482704732789604	0.021369603475714646	0.443727011908602	0.020319298921115073
0.1	0.0476976310293782	0.0003268053267016514	0.243469528177474	0.0019177311592947343	0.223817491657292	0.0017558583368266019
0.15	0.0527341902054956	0.00014912702628555412	0.16567232201250398	0.003914412220586805	0.148725283585104	0.003330831720523771
0.2	0.059057674370143996	0.0004560063731144956	0.125597006645	0.001814259490714398	0.11229404214374598	0.0014815829103416544
0.25	0.0672196624145472	0.00035029096579372533	0.09987832909069021	0.0016504968470189999	0.09169546961029959	0.0012039037897550254
0.3	0.0771663792374414	0.00029958014124057905	0.083602577681816	0.0008758943619250212	0.0816694354478896	0.0006686303466312092
0.35	0.0915222281312498	0.00048372725140921955	0.07155605886151299	0.00026874787421605746	0.0785479337489472	0.00010820116483569474
0.4	0.11164948214178198	0.0008137451021799741	0.0626035072481962	0.0002420414215581751	0.08221480575547939	0.00024638832549852467
0.45	0.143185902049142	0.001092298597124642	0.055574083948013796	0.0003388506809808729	0.09499500438798	0.0005643039795976895
0.5	0.201889556172946	0.002170067395634174	0.049921983511424406	0.00022836348790437612	0.125918944183208	0.0011681055164234784
