#value	samples	sigma
0.0	0.18640479174890087	0.009906131865788719
0.03936	0.10210024318858121	0.005342463220076347
0.07872	0.06066389274121635	0.003373857910551555
0.11807999999999999	0.03904051933361509	0.002243839209633934
0.15744	0.02735848119354283	0.00177576177200623
0.1968	0.020126827092675846	0.0014074207246723498
0.23615999999999998	0.015525127817795267	0.0011890093878718854
0.27552	0.012193842831457817	0.0007702164600106665
0.31488	0.009672978186405275	0.0006626501031004725
0.35424	0.00786137127209911	0.0005286788728162511
0.3936	0.0064274193621027655	0.00042813534071013156
0.43296	0.005303632336082832	0.00034369492346328665
0.47231999999999996	0.004355228303986401	0.00033298412927071586
0.51168	0.0036278771436876077	0.00030125537886996177
0.55104	0.002991277654515854	0.00023745548016083662
0.5904	0.002459762193465121	0.00016440600045573698
0.62976	0.0020561201926115004	0.0001645541137244148
0.6691199999999999	0.001674047350223805	0.00012436485130977654
0.70848	0.0013423153569256492	8.705443074337365e-05
0.74784	0.0011258267644589487	6.96230694542318e-05
0.7872	0.0009389612928448939	4.954392942986828e-05
0.82656	0.0007788602648459474	2.8327565214772936e-05
0.86592	0.0006521910018385056	4.9203407506320534e-05
0.90528	0.0005418621320277624	5.238173972950342e-05
0.9446399999999999	0.00046899814358311164	4.771211683837442e-05
0.984	0.00040015514886382737	3.628819522751807e-05
1.02336	0.00032541936843123644	2.825787204231765e-05
1.0627199999999999	0.0002715240908269583	2.9053895002048847e-05
1.10208	0.00023734916108043746	2.9913041737187223e-05
1.14144	0.00019614631817304945	4.338965569291914e-05
1.1808	0.00015220001245212653	3.160331936265005e-05
1.22016	0.00012103729255713435	2.199990214781595e-05
1.25952	9.831886658710953e-05	2.0976029922445503e-05
1.29888	7.663231850009593e-05	1.8989800682926022e-05
1.3382399999999999	5.9592337451721014e-05	1.8638981490481547e-05
1.3776	5.073345269622281e-05	1.5652570815196934e-05
1.41696	4.1400639343256895e-05	1.249923515512017e-05
1.45632	3.270406829649782e-05	1.1264877724843649e-05
1.49568	2.6679902398973742e-05	9.593400603950938e-06
1.53504	1.967719843294388e-05	7.755271193945785e-06
1.5744	1.5811875231422745e-05	5.834411112558911e-06
1.6137599999999999	1.3855022818152631e-05	5.538025058506993e-06
1.65312	8.834534218559064e-06	4.204372605086846e-06
1.69248	8.62216427271122e-06	3.1854418550333925e-06
1.73184	9.24956325221642e-06	2.067998872117563e-06
1.7711999999999999	1.1158028014921726e-05	4.979601664816537e-06
1.81056	9.534982141642562e-06	4.561729529334383e-06
1.84992	4.657721339187928e-06	4.034115539643233e-06
1.8892799999999998	2.3517313481409667e-06	5.688621953829096e-06
1.92864	1.2270088368315095e-06	8.344320096954558e-06
