#value	samples	sigma
0.0	0.034821501688275684	0.009188981410479628
0.044821917808219175	0.03659990872337908	0.007960122874016476
0.08964383561643835	0.03515015930439255	0.007700573970877066
0.13446575342465752	0.03155994010427324	0.006692317620672111
0.1792876712328767	0.02744104748089383	0.005862862193726665
0.22410958904109587	0.023684480897438832	0.004801913528644333
0.26893150684931505	0.020036984948147474	0.004014348272920653
0.3137534246575342	0.016811397563092967	0.0032989282989951928
0.3585753424657534	0.01404450169962575	0.0028748422824869226
0.4033972602739726	0.011676722564958764	0.002308620136983216
0.44821917808219175	0.00996676630776975	0.001968274938644205
0.4930410958904109	0.008469304874984637	0.001659177277549301
0.5378630136986301	0.007073747609517883	0.001422868025924397
0.5826849315068493	0.005959286488052723	0.001178471905052413
0.6275068493150684	0.005036832206082954	0.000963502852015515
0.6723287671232876	0.0043021114313961505	0.0008240086783203438
0.7171506849315068	0.003707990763500412	0.0007464377797882716
0.761972602739726	0.003228443329272832	0.0006023170824317852
0.8067945205479452	0.0027165708414031674	0.000482353173327904
0.8516164383561643	0.0023590442779349023	0.00038605795462303604
0.8964383561643835	0.0020363738950482076	0.0003056972590397299
0.9412602739726027	0.0017940959849046193	0.000249141222241657
0.9860821917808218	0.0015487324262516262	0.00023691771972652226
1.030904109589041	0.0013106019093323104	0.00023191179611538215
1.0757260273972602	0.0011480568828212863	0.00022745519248862118
1.1205479452054794	0.0010039374699895877	0.00020283815940563103
1.1653698630136986	0.0008578805766319353	0.00016483003079859648
1.2101917808219178	0.0007646862445786718	0.00012656639703155395
1.2550136986301368	0.0006572781886522449	9.606216807426681e-05
1.299835616438356	0.0005901588856274901	9.390650244407367e-05
1.3446575342465752	0.0005217586815948441	9.058740424770701e-05
1.3894794520547944	0.0004505109477863591	0.00010099903987918826
1.4343013698630136	0.0003761058575744371	7.750915240859736e-05
1.4791232876712328	0.0003216850172173081	5.514776250356941e-05
1.523945205479452	0.00027252763977520867	4.223300780878874e-05
1.5687671232876712	0.00024558422434898104	6.100639629733917e-05
1.6135890410958904	0.00020406161134215754	3.482853010951065e-05
1.6584109589041094	0.00018512223441849226	2.2503887877555838e-05
1.7032328767123286	0.00016535177402185645	3.7056021362250956e-05
1.7480547945205478	0.00015359771898428893	4.761498351762221e-05
1.792876712328767	0.00014862006576136616	2.802750497005786e-05
1.8376986301369862	0.00012282771013281363	3.0370086332593332e-05
1.8825205479452054	0.0001024290310577663	2.439051613892657e-05
1.9273424657534246	9.845576342022307e-05	1.1318030747609024e-05
1.9721643835616436	7.308740002448961e-05	1.2504861512833051e-05
2.016986301369863	6.853661436172777e-05	1.6710138494010267e-05
2.061808219178082	5.84756992937867e-05	1.6947876159257653e-05
2.1066301369863014	6.0464270923781994e-05	2.1049031513350643e-05
2.1514520547945204	5.8067302569598294e-05	2.5230549385577125e-05
2.1962739726027394	5.042018723860516e-05	1.7879318487136142e-05
2.241095890410959	3.899372372289657e-05	1.5415729190716707e-05
2.285917808219178	2.9232039320749162e-05	1.5010569671263164e-05
2.330739726027397	3.2694006393950184e-05	9.72911277357583e-06
2.375561643835616	2.8035035311988155e-05	1.0045112384507694e-05
2.4203835616438356	2.722666926032386e-05	1.3756883539035749e-05
2.4652054794520546	2.9627862839785e-05	1.3901461875993089e-05
2.5100273972602736	2.061482354146509e-05	1.1790680544572917e-05
2.554849315068493	1.573899007963545e-05	9.221356097370304e-06
2.599671232876712	8.805614206704353e-06	8.310373814928988e-06
2.6444931506849314	1.3224899394637282e-05	9.846828447460134e-06
2.6893150684931504	1.1200711850823893e-05	9.373083135776395e-06
2.73413698630137	1.5014702471363448e-05	1.0237728271101724e-05
2.778958904109589	1.1021976330382899e-05	1.3584025403289206e-05
2.823780821917808	9.296577606918103e-06	1.8018759994935534e-05
2.868602739726027	4.314035831881986e-06	2.1215563063269627e-05
2.913424657534246	1.40917922165837e-06	2.4672773013920155e-05
2.9582465753424656	-1.7022897779715458e-06	2.8552458635426712e-05
3.0030684931506846	-7.316819194180235e-06	3.152067984881577e-05
3.047890410958904	-1.1901750728736409e-05	3.5177222105203226e-05
3.092712328767123	-1.5514846306103475e-05	3.934343031528432e-05
3.1375342465753424	-1.9995948666571623e-05	4.3365527711852185e-05
3.1823561643835614	-2.128421802803824e-05	4.9565336603333006e-05
3.227178082191781	-2.5454736098551583e-05	5.3471980417135365e-05
